segment,timestamp,server_id,quality,bitrate_kbps,vazão_kbps,download_time_s,variação de atraso (jitter)_network_ms,variação de atraso (jitter)_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-18T19:40:02.927685,A,240p,200,317.425,0.630,198.139,19.814,2.000,0,0,0.700,0
2,2026-06-18T19:40:03.687000,A,240p,200,614.388,0.326,94.231,27.256,3.550,1,0,0.000,0
3,2026-06-18T19:40:04.155674,A,240p,200,596.602,0.335,102.203,34.750,5.100,1,0,0.000,0
4,2026-06-18T19:40:04.650671,A,240p,200,612.654,0.326,29.628,34.238,6.650,1,0,0.000,0
5,2026-06-18T19:40:05.764017,B,360p,400,531.925,0.752,117.946,42.609,7.100,1,0,0.000,1
6,2026-06-18T19:40:06.729164,B,360p,400,542.348,0.738,112.924,49.640,8.200,1,0,0.000,1
7,2026-06-18T19:40:07.676802,B,480p,600,475.431,1.262,134.626,58.139,8.750,1,0,0.000,1
8,2026-06-18T19:40:10.000876,A,480p,600,431.231,1.391,150.696,67.395,8.450,1,0,0.000,2
9,2026-06-18T19:40:11.615096,A,480p,600,505.615,1.187,123.642,73.019,9.050,1,0,0.000,2
10,2026-06-18T19:40:13.085404,A,480p,600,533.510,1.125,120.705,77.788,9.800,1,0,0.000,2
11,2026-06-18T19:40:14.409009,A,720p,900,491.190,1.832,138.219,83.831,9.700,1,0,0.000,2
12,2026-06-18T19:40:16.619904,A,720p,900,438.886,2.051,150.480,90.496,9.300,1,0,0.000,2
13,2026-06-18T19:40:19.033414,A,480p,600,423.787,1.416,153.494,96.796,9.700,1,0,0.000,2
14,2026-06-18T19:40:20.685269,A,720p,900,479.442,1.877,137.372,100.853,9.650,1,0,0.000,2
15,2026-06-18T19:40:22.866241,A,720p,900,467.547,1.925,141.467,104.915,9.500,1,0,0.000,2
