segment,timestamp,server_id,quality,bitrate_kbps,vazão_kbps,download_time_s,variação de atraso (jitter)_network_ms,variação de atraso (jitter)_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-22T21:28:58.682328,A,240p,200,211.512,0.946,239.184,23.918,2.000,1,0,1.050,0
2,2026-06-22T21:28:59.772576,A,240p,200,107.765,1.856,339.632,55.490,2.050,1,0,0.000,0
3,2026-06-22T21:29:01.757055,A,240p,200,95.451,2.095,349.325,84.873,2.000,0,1,0.200,0
4,2026-06-22T21:29:03.979593,A,240p,200,137.163,1.458,288.892,105.275,2.450,1,0,0.000,0
5,2026-06-22T21:29:06.273378,B,240p,200,216.705,0.923,153.067,110.054,2.700,1,0,0.000,1
6,2026-06-22T21:29:07.316540,B,240p,200,137.092,1.459,409.011,139.950,3.150,1,0,0.000,1
7,2026-06-22T21:29:08.903118,B,240p,200,297.559,0.672,153.541,141.309,4.300,1,0,0.000,1
8,2026-06-22T21:29:10.200336,A,240p,200,209.876,0.953,218.046,148.983,4.750,1,0,0.000,2
9,2026-06-22T21:29:11.280280,A,240p,200,229.571,0.871,174.281,151.513,5.750,1,0,0.000,2
10,2026-06-22T21:29:12.305872,A,240p,200,216.363,0.924,156.569,152.018,6.700,1,0,0.000,2
11,2026-06-22T21:29:13.365296,A,240p,200,243.120,0.823,206.786,157.495,7.750,1,0,0.000,2
12,2026-06-22T21:29:14.326824,A,240p,200,211.155,0.947,197.180,161.463,8.700,1,0,0.000,2
13,2026-06-22T21:29:15.395506,A,240p,200,215.411,0.928,219.049,167.222,9.600,1,0,0.000,2
14,2026-06-22T21:29:16.470522,A,240p,200,191.573,1.044,204.666,170.966,10.400,1,0,0.000,2
15,2026-06-22T21:29:17.707855,A,240p,200,210.915,0.948,166.707,170.541,11.300,1,0,0.000,2
16,2026-06-22T21:29:18.777251,A,240p,200,219.694,0.910,138.177,167.304,12.300,1,0,0.000,2
17,2026-06-22T21:29:19.799181,A,240p,200,252.386,0.792,146.659,165.240,13.400,1,0,0.000,2
18,2026-06-22T21:29:20.721173,A,240p,200,184.613,1.083,204.460,169.162,14.200,1,0,0.000,2
19,2026-06-22T21:29:21.924157,A,240p,200,257.928,0.775,104.370,162.682,15.250,1,0,0.000,2
20,2026-06-22T21:29:24.089204,A,240p,200,193.642,1.033,225.940,169.008,14.900,1,0,0.000,2
21,2026-06-22T21:29:25.244287,A,240p,200,192.167,1.041,279.826,180.090,15.750,1,0,0.000,2
22,2026-06-22T21:29:28.068637,B,240p,200,207.557,0.964,260.707,188.152,15.000,1,0,0.000,3
23,2026-06-22T21:29:29.174080,B,240p,200,238.493,0.839,203.578,189.694,16.050,1,0,0.000,3
24,2026-06-22T21:29:31.293159,B,240p,200,219.990,0.909,275.023,198.227,15.850,1,0,0.000,3
25,2026-06-22T21:29:33.415138,B,240p,200,186.350,1.073,296.020,208.006,15.550,1,0,0.000,3
26,2026-06-22T21:29:35.536455,B,240p,200,259.781,0.770,182.782,205.484,15.750,1,0,0.000,3
27,2026-06-22T21:29:38.059509,A,240p,200,189.168,1.057,197.596,204.695,14.950,1,0,0.000,4
28,2026-06-22T21:29:39.262129,A,240p,200,162.004,1.235,268.825,211.108,15.600,1,0,0.000,4
29,2026-06-22T21:29:41.379154,A,240p,200,243.099,0.823,219.870,211.984,15.850,1,0,0.000,4
30,2026-06-22T21:29:43.528546,A,240p,200,209.957,0.953,262.472,217.033,15.600,1,0,0.000,4
31,2026-06-22T21:29:45.651422,A,240p,200,276.303,0.724,196.085,214.938,15.750,1,0,0.000,4
32,2026-06-22T21:29:47.764366,A,240p,200,189.070,1.058,290.163,222.461,15.250,1,0,0.000,4
33,2026-06-22T21:29:49.894772,A,240p,200,208.692,0.958,169.281,217.143,15.250,1,0,0.000,4
34,2026-06-22T21:29:52.009027,A,240p,200,260.167,0.769,115.063,206.935,15.350,1,0,0.000,4
35,2026-06-22T21:29:54.129181,A,240p,200,298.065,0.671,139.740,200.215,15.300,1,0,0.000,4
36,2026-06-22T21:29:56.265265,A,240p,200,209.545,0.954,255.497,205.743,14.900,1,0,0.000,4
37,2026-06-22T21:29:57.338234,A,240p,200,304.371,0.657,153.944,200.564,16.150,1,0,0.000,4
38,2026-06-22T21:29:59.471441,A,240p,200,265.147,0.754,111.649,191.672,15.850,1,0,0.000,4
39,2026-06-22T21:30:01.641595,A,240p,200,227.440,0.879,215.077,194.013,15.500,1,0,0.000,4
40,2026-06-22T21:30:03.881326,A,240p,200,135.551,1.475,257.779,200.389,14.600,1,0,0.000,4
