segment,timestamp,server_id,quality,bitrate_kbps,vazão_kbps,download_time_s,variação de atraso (jitter)_network_ms,variação de atraso (jitter)_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-22T21:33:22.808299,A,240p,200,188.441,1.061,224.295,22.430,2.000,1,0,1.300,0
2,2026-06-22T21:33:24.116837,A,240p,200,177.478,1.127,278.820,48.069,2.700,1,0,0.000,0
3,2026-06-22T21:33:25.420502,A,240p,200,168.489,1.187,263.096,69.571,3.400,1,0,0.000,0
4,2026-06-22T21:33:26.733764,A,240p,200,244.254,0.819,119.725,74.587,4.400,1,0,0.000,0
5,2026-06-22T21:33:28.727798,B,240p,200,192.062,1.041,229.715,90.099,4.150,1,0,0.000,1
6,2026-06-22T21:33:29.994457,B,240p,200,200.052,1.000,305.042,111.594,4.900,1,0,0.000,1
7,2026-06-22T21:33:31.278112,B,240p,200,246.940,0.810,205.717,121.006,5.950,1,0,0.000,1
8,2026-06-22T21:33:33.377291,A,240p,200,285.552,0.700,114.178,120.323,5.750,1,0,0.000,2
9,2026-06-22T21:33:34.434127,A,240p,200,223.678,0.894,145.276,122.818,6.750,1,0,0.000,2
10,2026-06-22T21:33:35.441614,A,240p,200,227.013,0.881,193.620,129.899,7.600,1,0,0.000,2
11,2026-06-22T21:33:36.567949,A,360p,400,237.079,1.687,239.402,140.849,7.700,1,0,0.000,2
12,2026-06-22T21:33:38.466492,A,240p,200,193.662,1.033,176.426,144.407,8.550,1,0,0.000,2
13,2026-06-22T21:33:39.638980,A,360p,400,212.736,1.880,214.957,151.462,8.400,1,0,0.000,2
14,2026-06-22T21:33:41.779600,A,360p,400,189.169,2.115,315.732,167.889,8.150,1,0,0.000,2
15,2026-06-22T21:33:44.062558,A,240p,200,275.001,0.727,152.446,166.344,9.150,1,0,0.000,2
16,2026-06-22T21:33:45.041755,A,480p,600,214.333,2.799,283.717,178.082,8.100,1,0,0.000,2
17,2026-06-22T21:33:48.112272,A,240p,200,226.116,0.885,142.018,174.475,9.100,1,0,0.000,2
18,2026-06-22T21:33:49.146448,A,480p,600,245.957,2.439,239.433,180.971,8.300,1,0,0.000,2
19,2026-06-22T21:33:51.945045,A,360p,400,210.641,1.899,286.035,191.477,8.200,1,0,0.000,2
20,2026-06-22T21:33:54.073396,A,240p,200,198.788,1.006,212.446,193.574,8.900,1,0,0.000,2
21,2026-06-22T21:33:55.350435,A,360p,400,223.271,1.792,201.899,194.407,8.850,1,0,0.000,2
22,2026-06-22T21:33:58.909008,B,240p,200,305.905,0.654,88.934,183.860,8.500,1,0,0.000,3
23,2026-06-22T21:33:59.788535,B,480p,600,245.462,2.444,238.556,189.329,7.800,1,0,0.000,3
24,2026-06-22T21:34:02.496569,B,240p,200,215.631,0.928,243.235,194.720,8.750,1,0,0.000,3
25,2026-06-22T21:34:03.548089,B,360p,400,190.336,2.102,311.804,206.428,8.300,1,0,0.000,3
26,2026-06-22T21:34:06.019538,B,240p,200,173.111,1.155,355.218,221.307,8.900,1,0,0.000,3
27,2026-06-22T21:34:08.012007,A,240p,200,186.413,1.073,194.500,218.627,9.100,1,0,0.000,4
28,2026-06-22T21:34:09.208042,A,360p,400,221.838,1.803,204.606,217.224,9.000,1,0,0.000,4
29,2026-06-22T21:34:11.317997,A,360p,400,189.484,2.111,306.050,226.107,8.750,1,0,0.000,4
30,2026-06-22T21:34:13.587728,A,360p,400,219.329,1.824,262.822,229.778,8.750,1,0,0.000,4
31,2026-06-22T21:34:15.574864,A,360p,400,230.071,1.739,224.380,229.239,8.650,1,0,0.000,4
32,2026-06-22T21:34:17.675535,A,360p,400,188.459,2.122,287.579,235.073,8.250,1,0,0.000,4
33,2026-06-22T21:34:20.098837,A,240p,200,164.610,1.215,322.516,243.817,8.900,1,0,0.000,4
34,2026-06-22T21:34:21.435488,A,360p,400,200.050,1.999,214.965,240.932,8.650,1,0,0.000,4
35,2026-06-22T21:34:23.720141,A,360p,400,201.747,1.983,255.229,242.361,8.050,1,0,0.000,4
36,2026-06-22T21:34:26.299461,A,240p,200,283.238,0.706,93.882,227.514,9.250,1,0,0.000,4
37,2026-06-22T21:34:27.123791,A,480p,600,181.000,3.315,302.049,234.967,7.600,1,0,0.000,4
38,2026-06-22T21:34:30.770680,A,240p,200,245.495,0.815,70.375,218.508,8.400,1,0,0.000,4
39,2026-06-22T21:34:32.012228,A,480p,600,208.055,2.884,264.532,223.110,7.100,1,0,0.000,4
40,2026-06-22T21:34:35.299425,A,240p,200,188.174,1.063,155.932,216.392,7.950,1,0,0.000,4
