segment,timestamp,server_id,quality,bitrate_kbps,vazão_kbps,download_time_s,variação de atraso (jitter)_network_ms,variação de atraso (jitter)_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-18T19:39:45.615419,A,240p,200,648.403,0.308,91.819,9.182,2.000,0,0,0.400,0
2,2026-06-18T19:39:46.063952,A,360p,400,181.084,2.209,351.400,43.404,2.000,0,1,0.350,0
3,2026-06-18T19:39:48.474340,A,240p,200,325.364,0.615,177.490,56.812,3.300,1,0,0.000,0
4,2026-06-18T19:39:49.251226,A,240p,200,498.267,0.401,102.942,61.425,4.750,1,0,0.000,0
5,2026-06-18T19:39:50.248562,B,240p,200,522.258,0.383,113.269,66.610,5.800,1,0,0.000,1
6,2026-06-18T19:39:50.758407,B,360p,400,539.367,0.742,116.034,71.552,6.900,1,0,0.000,1
7,2026-06-18T19:39:51.704025,B,360p,400,520.749,0.768,120.043,76.401,8.050,1,0,0.000,1
8,2026-06-18T19:39:53.190806,A,360p,400,545.243,0.734,103.908,79.152,8.650,1,0,0.000,2
9,2026-06-18T19:39:54.088920,A,360p,400,487.042,0.821,130.637,84.300,9.650,1,0,0.000,2
10,2026-06-18T19:39:55.092216,A,360p,400,427.419,0.936,128.156,88.686,10.600,1,0,0.000,2
11,2026-06-18T19:39:56.186579,A,360p,400,559.313,0.715,95.505,89.368,11.700,1,0,0.000,2
12,2026-06-18T19:39:57.099386,A,360p,400,543.617,0.736,115.827,92.014,12.800,1,0,0.000,2
13,2026-06-18T19:39:57.997067,A,360p,400,539.360,0.742,115.953,94.408,13.900,1,0,0.000,2
14,2026-06-18T19:39:58.932096,A,360p,400,506.308,0.790,107.822,95.749,14.900,1,0,0.000,2
15,2026-06-18T19:39:59.951578,A,360p,400,381.130,1.050,169.162,103.090,15.700,1,0,0.000,2
