segment,timestamp,server_id,quality,bitrate_kbps,vazão_kbps,download_time_s,variação de atraso (jitter)_network_ms,variação de atraso (jitter)_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-18T23:49:04.083179,A,240p,200,222.733,0.898,222.054,22.205,2.000,0,0,1.000,0
2,2026-06-18T23:49:05.107146,A,240p,200,184.557,1.084,199.551,39.940,2.800,1,0,0.000,0
3,2026-06-18T23:49:06.302352,A,240p,200,192.281,1.040,266.125,62.558,3.650,1,0,0.000,0
4,2026-06-18T23:49:07.455477,A,240p,200,191.281,1.046,280.547,84.357,4.500,1,0,0.000,0
5,2026-06-18T23:49:09.065864,B,240p,200,180.928,1.105,306.417,106.563,4.850,1,0,0.000,1
6,2026-06-18T23:49:10.289562,B,240p,200,191.084,1.047,275.666,123.473,5.700,1,0,0.000,1
7,2026-06-18T23:49:11.463769,B,360p,400,215.968,1.852,229.936,134.120,5.650,1,0,0.000,1
8,2026-06-18T23:49:13.965327,A,240p,200,234.294,0.854,114.255,132.133,6.250,1,0,0.000,2
9,2026-06-18T23:49:14.939178,A,360p,400,184.832,2.164,283.537,147.274,5.900,1,0,0.000,2
10,2026-06-18T23:49:17.310072,A,360p,400,239.455,1.670,194.716,152.018,6.050,1,0,0.000,2
11,2026-06-18T23:49:19.132064,A,360p,400,239.322,1.671,204.429,157.259,6.200,1,0,0.000,2
12,2026-06-18T23:49:20.996830,A,360p,400,216.644,1.846,276.625,169.196,6.200,1,0,0.000,2
13,2026-06-18T23:49:23.025370,A,360p,400,227.180,1.761,245.091,176.785,6.250,1,0,0.000,2
14,2026-06-18T23:49:24.987543,A,360p,400,191.594,2.088,260.939,185.201,6.000,1,0,0.000,2
15,2026-06-18T23:49:27.224745,A,360p,400,186.127,2.149,189.327,185.613,5.650,1,0,0.000,2
16,2026-06-18T23:49:29.579600,A,360p,400,216.548,1.847,239.667,191.019,5.650,1,0,0.000,2
17,2026-06-18T23:49:31.573358,A,360p,400,233.407,1.714,200.014,191.918,5.700,1,0,0.000,2
18,2026-06-18T23:49:33.553511,A,360p,400,207.484,1.928,282.822,201.008,5.600,1,0,0.000,2
19,2026-06-18T23:49:35.664101,A,360p,400,253.810,1.576,193.250,200.233,5.850,1,0,0.000,2
20,2026-06-18T23:49:37.399108,A,360p,400,223.021,1.794,230.581,203.267,5.950,1,0,0.000,2
21,2026-06-18T23:49:39.346847,A,360p,400,173.642,2.304,315.518,214.492,5.450,1,0,0.000,2
22,2026-06-18T23:49:42.298337,B,240p,200,234.715,0.852,193.401,212.383,6.000,1,0,0.000,3
23,2026-06-18T23:49:43.274817,B,360p,400,202.330,1.977,298.360,220.981,5.900,1,0,0.000,3
24,2026-06-18T23:49:45.400671,B,360p,400,250.916,1.594,218.462,220.729,6.150,1,0,0.000,3
25,2026-06-18T23:49:47.145625,B,360p,400,219.061,1.826,279.283,226.585,6.150,1,0,0.000,3
26,2026-06-18T23:49:49.147377,B,360p,400,206.456,1.937,291.376,233.064,6.050,1,0,0.000,3
27,2026-06-18T23:49:51.751273,A,360p,400,219.607,1.821,256.895,235.447,5.600,1,0,0.000,4
28,2026-06-18T23:49:53.745812,A,360p,400,209.429,1.910,259.633,237.865,5.500,1,0,0.000,4
29,2026-06-18T23:49:55.835356,A,240p,200,202.784,0.986,99.672,224.046,6.400,1,0,0.000,4
30,2026-06-18T23:49:56.942704,A,360p,400,238.196,1.679,210.208,222.662,6.550,1,0,0.000,4
