segment,timestamp,server_id,quality,bitrate_kbps,vazão_kbps,download_time_s,variação de atraso (jitter)_network_ms,variação de atraso (jitter)_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-18T23:51:24.101461,A,240p,200,255.325,0.783,159.494,15.949,2.000,0,0,0.900,0
2,2026-06-18T23:51:25.013623,A,240p,200,299.868,0.667,150.838,29.438,3.250,1,0,0.000,0
3,2026-06-18T23:51:25.800142,A,240p,200,223.524,0.895,118.099,38.304,4.200,1,0,0.000,0
4,2026-06-18T23:51:26.842674,A,240p,200,236.360,0.846,88.129,43.287,5.250,1,0,0.000,0
5,2026-06-18T23:51:28.225673,B,240p,200,237.543,0.842,216.823,60.640,5.850,1,0,0.000,1
6,2026-06-18T23:51:29.184208,B,240p,200,316.054,0.633,138.863,68.463,7.100,1,0,0.000,1
7,2026-06-18T23:51:29.940454,B,240p,200,247.369,0.809,219.172,83.534,8.200,1,0,0.000,1
8,2026-06-18T23:51:31.333034,A,240p,200,247.141,0.809,133.558,88.536,8.800,1,0,0.000,2
9,2026-06-18T23:51:32.265288,A,240p,200,155.738,1.284,271.320,106.814,9.400,1,0,0.000,2
10,2026-06-18T23:51:33.685546,A,240p,200,174.449,1.146,179.594,114.092,10.100,1,0,0.000,2
11,2026-06-18T23:51:34.958804,A,240p,200,228.268,0.876,152.699,117.953,11.100,1,0,0.000,2
12,2026-06-18T23:51:35.958328,A,240p,200,238.707,0.838,118.943,118.052,12.150,1,0,0.000,2
13,2026-06-18T23:51:36.913566,A,240p,200,317.769,0.629,125.612,118.808,13.400,1,0,0.000,2
14,2026-06-18T23:51:37.664276,A,240p,200,231.893,0.862,77.283,114.655,14.400,1,0,0.000,2
15,2026-06-18T23:51:38.657584,A,240p,200,162.137,1.234,253.424,128.532,15.100,1,0,0.000,2
16,2026-06-18T23:51:40.012046,A,1080p,1200,223.864,5.360,275.206,143.200,11.350,1,0,0.000,2
17,2026-06-18T23:51:45.736273,A,240p,200,154.542,1.294,284.372,157.317,11.950,1,0,0.000,2
18,2026-06-18T23:51:47.170275,A,240p,200,232.356,0.861,142.550,155.840,12.950,1,0,0.000,2
19,2026-06-18T23:51:48.144703,A,240p,200,198.153,1.009,200.079,160.264,13.850,1,0,0.000,2
20,2026-06-18T23:51:49.272815,A,240p,200,150.662,1.327,278.376,172.075,14.400,1,0,0.000,2
21,2026-06-18T23:51:50.723833,A,240p,200,192.463,1.039,280.589,182.927,15.250,1,0,0.000,2
22,2026-06-18T23:51:52.726112,B,240p,200,186.098,1.075,298.846,194.519,15.200,1,0,0.000,3
23,2026-06-18T23:51:53.930447,B,1080p,1200,206.556,5.810,312.610,206.328,11.000,1,0,0.000,3
24,2026-06-18T23:52:00.150635,B,240p,200,333.825,0.599,114.062,197.101,12.300,1,0,0.000,3
25,2026-06-18T23:52:00.866484,B,240p,200,150.691,1.327,369.036,214.295,12.850,1,0,0.000,3
26,2026-06-18T23:52:02.333596,B,240p,200,194.346,1.029,256.777,218.543,13.700,1,0,0.000,3
27,2026-06-18T23:52:03.890449,A,240p,200,227.817,0.878,123.429,209.031,14.300,1,0,0.000,4
28,2026-06-18T23:52:04.882923,A,240p,200,189.338,1.056,222.284,210.357,15.150,1,0,0.000,4
29,2026-06-18T23:52:06.058526,A,1080p,1200,230.402,5.208,266.975,216.019,11.550,1,0,0.000,4
30,2026-06-18T23:52:11.645328,A,240p,200,256.257,0.780,190.695,213.486,12.650,1,0,0.000,4
