segment,timestamp,server_id,quality,bitrate_kbps,vazão_kbps,download_time_s,variação de atraso (jitter)_network_ms,variação de atraso (jitter)_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-19T00:00:27.900148,A,240p,200,240.081,0.833,127.356,12.736,2.000,0,0,0.950,0
2,2026-06-19T00:00:28.854389,A,240p,200,63.379,3.156,799.491,91.411,2.000,0,1,1.250,0
3,2026-06-19T00:00:32.122027,A,240p,200,152.877,1.308,274.564,109.726,2.600,1,0,0.000,0
4,2026-06-19T00:00:33.558805,A,240p,200,145.415,1.375,318.787,130.633,3.100,1,0,0.000,0
5,2026-06-19T00:00:35.467927,B,240p,200,283.175,0.706,175.846,135.154,3.850,1,0,0.000,1
6,2026-06-19T00:00:36.293311,B,240p,200,301.610,0.663,172.546,138.893,5.100,1,0,0.000,1
7,2026-06-19T00:00:37.067116,B,240p,200,313.326,0.638,149.294,139.933,6.350,1,0,0.000,1
8,2026-06-19T00:00:39.297374,A,240p,200,189.187,1.057,269.321,152.872,5.700,1,0,0.000,2
9,2026-06-19T00:00:40.467313,A,240p,200,221.895,0.901,153.609,152.946,6.700,1,0,0.000,2
10,2026-06-19T00:00:41.487981,A,240p,200,225.656,0.886,131.003,150.751,7.700,1,0,0.000,2
11,2026-06-19T00:00:42.503530,A,240p,200,224.605,0.890,162.618,151.938,8.650,1,0,0.000,2
12,2026-06-19T00:00:43.516095,A,240p,200,294.006,0.680,104.663,147.210,9.850,1,0,0.000,2
13,2026-06-19T00:00:44.316290,A,240p,200,255.370,0.783,101.500,142.639,10.950,1,0,0.000,2
14,2026-06-19T00:00:45.218184,A,240p,200,231.781,0.863,131.735,141.549,12.000,1,0,0.000,2
15,2026-06-19T00:00:46.200306,A,240p,200,233.242,0.857,125.974,139.992,13.000,1,0,0.000,2
16,2026-06-19T00:00:47.177439,A,360p,400,194.589,2.056,312.038,157.196,12.850,1,0,0.000,2
17,2026-06-19T00:00:49.381385,A,360p,400,217.456,1.839,222.980,163.775,12.850,1,0,0.000,2
18,2026-06-19T00:00:51.385887,A,360p,400,216.672,1.846,228.067,170.204,12.850,1,0,0.000,2
19,2026-06-19T00:00:53.376367,A,360p,400,180.306,2.218,303.970,183.580,12.500,1,0,0.000,2
20,2026-06-19T00:00:55.744135,A,360p,400,230.688,1.734,186.178,183.840,12.550,1,0,0.000,2
21,2026-06-19T00:00:57.677862,A,360p,400,236.302,1.693,238.046,189.261,12.750,1,0,0.000,2
22,2026-06-19T00:01:00.040676,B,360p,400,210.662,1.899,225.936,192.928,12.150,1,0,0.000,3
23,2026-06-19T00:01:02.128198,B,360p,400,244.825,1.634,236.102,197.246,12.300,1,0,0.000,3
24,2026-06-19T00:01:03.958496,B,360p,400,223.484,1.790,253.016,202.823,12.350,1,0,0.000,3
25,2026-06-19T00:01:05.917509,B,360p,400,212.738,1.880,236.780,206.218,12.350,1,0,0.000,3
26,2026-06-19T00:01:07.945560,B,360p,400,239.924,1.667,247.981,210.395,12.500,1,0,0.000,3
27,2026-06-19T00:01:10.313942,A,240p,200,189.246,1.057,176.867,207.042,12.800,1,0,0.000,4
28,2026-06-19T00:01:11.493389,A,360p,400,263.392,1.519,173.297,203.667,13.150,1,0,0.000,4
29,2026-06-19T00:01:13.153206,A,360p,400,209.769,1.907,283.127,211.613,13.100,1,0,0.000,4
30,2026-06-19T00:01:15.233835,A,360p,400,219.385,1.823,220.061,212.458,13.050,1,0,0.000,4
