segment,timestamp,server_id,quality,bitrate_kbps,vazão_kbps,download_time_s,variação de atraso (jitter)_network_ms,variação de atraso (jitter)_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-18T23:52:15.257816,A,240p,200,220.235,0.908,125.999,12.600,2.000,0,0,1.000,0
2,2026-06-18T23:52:16.294400,A,240p,200,175.025,1.143,212.727,32.613,2.750,1,0,0.000,0
3,2026-06-18T23:52:17.558245,A,240p,200,152.910,1.308,377.743,67.126,3.300,1,0,0.000,0
4,2026-06-18T23:52:18.998988,A,240p,200,218.437,0.916,252.303,85.644,4.250,1,0,0.000,0
5,2026-06-18T23:52:20.470386,B,240p,200,190.719,1.049,279.722,105.051,4.700,1,0,0.000,1
6,2026-06-18T23:52:21.636655,B,240p,200,186.880,1.070,298.828,124.429,5.500,1,0,0.000,1
7,2026-06-18T23:52:22.839487,B,240p,200,229.452,0.872,215.532,133.539,6.500,1,0,0.000,1
8,2026-06-18T23:52:24.280655,A,240p,200,205.032,0.975,126.106,132.796,6.950,1,0,0.000,2
9,2026-06-18T23:52:25.392122,A,360p,400,206.104,1.941,233.475,142.864,6.850,1,0,0.000,2
10,2026-06-18T23:52:27.497937,A,240p,200,212.367,0.942,167.836,145.361,7.800,1,0,0.000,2
11,2026-06-18T23:52:28.573942,A,360p,400,185.551,2.156,288.343,159.659,7.450,1,0,0.000,2
12,2026-06-18T23:52:30.915418,A,240p,200,231.008,0.866,121.235,155.817,8.450,1,0,0.000,2
13,2026-06-18T23:52:31.912172,A,480p,600,233.790,2.566,249.940,165.229,7.650,1,0,0.000,2
14,2026-06-18T23:52:34.723071,A,240p,200,210.621,0.950,223.417,171.048,8.600,1,0,0.000,2
15,2026-06-18T23:52:35.794785,A,360p,400,179.747,2.225,290.170,182.960,8.200,1,0,0.000,2
16,2026-06-18T23:52:38.190920,A,240p,200,188.534,1.061,214.416,186.106,9.050,1,0,0.000,2
17,2026-06-18T23:52:39.364475,A,360p,400,226.442,1.766,223.869,189.882,9.100,1,0,0.000,2
18,2026-06-18T23:52:41.294045,A,360p,400,180.109,2.221,328.275,203.721,8.750,1,0,0.000,2
19,2026-06-18T23:52:43.674052,A,240p,200,160.946,1.243,247.904,208.140,9.400,1,0,0.000,2
20,2026-06-18T23:52:45.038342,A,360p,400,220.377,1.815,232.383,210.564,9.400,1,0,0.000,2
21,2026-06-18T23:52:47.042442,A,360p,400,254.747,1.570,179.499,207.457,9.650,1,0,0.000,2
22,2026-06-18T23:52:49.342170,B,480p,600,222.118,2.701,275.618,214.274,8.200,1,0,0.000,3
23,2026-06-18T23:52:52.253148,B,240p,200,190.538,1.050,279.010,220.747,9.050,1,0,0.000,3
24,2026-06-18T23:52:53.428392,B,360p,400,248.122,1.612,237.184,222.391,9.200,1,0,0.000,3
25,2026-06-18T23:52:55.238693,B,360p,400,181.760,2.201,301.155,230.267,8.850,1,0,0.000,3
26,2026-06-18T23:52:57.621924,B,360p,400,237.818,1.682,199.771,227.218,8.950,1,0,0.000,3
27,2026-06-18T23:53:00.008855,A,360p,400,221.326,1.807,247.947,229.290,8.500,1,0,0.000,4
28,2026-06-18T23:53:01.966047,A,360p,400,198.990,2.010,291.619,235.523,8.250,1,0,0.000,4
29,2026-06-18T23:53:04.238502,A,240p,200,190.423,1.050,282.417,240.213,9.100,1,0,0.000,4
30,2026-06-18T23:53:05.415074,A,360p,400,249.192,1.605,176.265,233.818,9.350,1,0,0.000,4
