segment,timestamp,server_id,quality,bitrate_kbps,vazão_kbps,download_time_s,variação de atraso (jitter)_network_ms,variação de atraso (jitter)_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-18T23:48:25.412304,A,240p,200,236.724,0.845,205.813,20.581,2.000,0,0,0.950,0
2,2026-06-18T23:48:26.400409,A,240p,200,63.839,3.133,211.355,39.659,2.000,0,1,1.250,0
3,2026-06-18T23:48:29.654881,A,240p,200,148.324,1.348,305.325,66.225,2.550,1,0,0.000,0
4,2026-06-18T23:48:31.116381,A,240p,200,215.713,0.927,136.116,73.214,3.500,1,0,0.000,0
5,2026-06-18T23:48:32.576497,B,240p,200,188.948,1.058,278.541,93.747,3.900,1,0,0.000,1
6,2026-06-18T23:48:33.754091,B,240p,200,188.319,1.062,295.380,113.910,4.750,1,0,0.000,1
7,2026-06-18T23:48:34.931138,B,240p,200,186.629,1.072,310.150,133.534,5.550,1,0,0.000,1
8,2026-06-18T23:48:36.559945,A,240p,200,192.885,1.037,175.860,137.767,6.000,1,0,0.000,2
9,2026-06-18T23:48:37.713674,A,240p,200,187.560,1.066,191.669,143.157,6.800,1,0,0.000,2
10,2026-06-18T23:48:38.899861,A,240p,200,155.843,1.283,265.022,155.343,7.400,1,0,0.000,2
11,2026-06-18T23:48:40.315241,A,240p,200,229.870,0.870,209.584,160.768,8.400,1,0,0.000,2
12,2026-06-18T23:48:41.299253,A,240p,200,158.030,1.266,273.012,171.992,9.050,1,0,0.000,2
13,2026-06-18T23:48:42.680551,A,240p,200,197.358,1.013,287.901,183.583,9.900,1,0,0.000,2
14,2026-06-18T23:48:43.808804,A,240p,200,248.073,0.806,114.804,176.705,11.000,1,0,0.000,2
15,2026-06-18T23:48:44.739778,A,240p,200,122.034,1.639,379.824,197.017,11.200,1,0,0.000,2
16,2026-06-18T23:48:46.507868,A,240p,200,181.050,1.105,193.336,196.649,12.000,1,0,0.000,2
17,2026-06-18T23:48:47.727634,A,240p,200,193.931,1.031,171.743,194.158,12.850,1,0,0.000,2
18,2026-06-18T23:48:48.876543,A,240p,200,252.772,0.791,195.023,194.245,13.950,1,0,0.000,2
19,2026-06-18T23:48:49.782015,A,240p,200,197.261,1.014,200.762,194.896,14.850,1,0,0.000,2
20,2026-06-18T23:48:50.905378,A,240p,200,198.782,1.006,251.992,200.606,15.700,1,0,0.000,2
21,2026-06-18T23:48:52.029358,A,240p,200,239.727,0.834,133.974,193.943,16.750,1,0,0.000,2
22,2026-06-18T23:48:53.387684,B,240p,200,225.570,0.887,209.539,195.502,17.350,1,0,0.000,3
23,2026-06-18T23:48:54.387920,B,240p,200,255.365,0.783,181.717,194.124,18.450,1,0,0.000,3
24,2026-06-18T23:48:55.288625,B,240p,200,224.548,0.891,241.820,198.893,19.450,1,0,0.000,3
25,2026-06-18T23:48:56.293005,B,240p,200,325.224,0.615,131.079,192.112,20.750,1,0,0.000,3
26,2026-06-18T23:48:57.025498,B,240p,200,207.408,0.964,248.356,197.736,21.650,1,0,0.000,3
27,2026-06-18T23:48:58.521737,A,240p,200,229.484,0.872,106.093,188.572,22.250,1,0,0.000,4
28,2026-06-18T23:48:59.512432,A,240p,200,247.496,0.808,127.270,182.442,23.350,1,0,0.000,4
29,2026-06-18T23:49:00.436138,A,240p,200,231.797,0.863,118.207,176.018,24.350,1,0,0.000,4
30,2026-06-18T23:49:01.410118,A,240p,200,201.452,0.993,269.494,185.366,25.250,1,0,0.000,4
