segment,timestamp,server_id,quality,bitrate_kbps,vazão_kbps,download_time_s,variação de atraso (jitter)_network_ms,variação de atraso (jitter)_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-18T23:49:59.940570,A,240p,200,241.498,0.828,132.129,13.213,2.000,0,0,0.950,0
2,2026-06-18T23:50:00.897651,A,240p,200,201.514,0.992,196.609,31.553,2.900,1,0,0.000,0
3,2026-06-18T23:50:02.002682,A,240p,200,192.371,1.040,211.212,49.518,3.800,1,0,0.000,0
4,2026-06-18T23:50:03.152458,A,240p,200,244.481,0.818,139.025,58.469,4.850,1,0,0.000,0
5,2026-06-18T23:50:04.513445,B,240p,200,185.962,1.075,191.532,71.775,5.200,1,0,0.000,1
6,2026-06-18T23:50:05.737721,B,240p,200,146.465,1.366,320.794,96.677,5.750,1,0,0.000,1
7,2026-06-18T23:50:07.212437,B,240p,200,242.150,0.826,213.910,108.401,6.800,1,0,0.000,1
8,2026-06-18T23:50:08.579213,A,240p,200,218.928,0.914,196.144,117.175,7.350,1,0,0.000,2
9,2026-06-18T23:50:09.607514,A,240p,200,188.989,1.058,254.001,130.858,8.150,1,0,0.000,2
10,2026-06-18T23:50:10.786685,A,240p,200,242.409,0.825,132.314,131.003,9.250,1,0,0.000,2
11,2026-06-18T23:50:11.724085,A,240p,200,236.577,0.845,117.382,129.641,10.250,1,0,0.000,2
12,2026-06-18T23:50:12.696804,A,240p,200,224.611,0.890,249.382,141.615,11.250,1,0,0.000,2
13,2026-06-18T23:50:13.718355,A,240p,200,198.049,1.010,200.772,147.531,12.150,1,0,0.000,2
14,2026-06-18T23:50:14.847356,A,240p,200,193.103,1.036,199.706,152.748,12.950,1,0,0.000,2
15,2026-06-18T23:50:16.004450,A,240p,200,220.883,0.905,198.080,157.282,13.950,1,0,0.000,2
16,2026-06-18T23:50:17.029731,A,240p,200,316.929,0.631,65.002,148.054,15.200,1,0,0.000,2
17,2026-06-18T23:50:17.777120,A,240p,200,144.708,1.382,373.690,170.617,15.700,1,0,0.000,2
18,2026-06-18T23:50:19.275025,A,240p,200,115.641,1.729,169.929,170.548,15.850,1,0,0.000,2
19,2026-06-18T23:50:21.142028,A,240p,200,194.051,1.031,179.992,171.493,16.700,1,0,0.000,2
20,2026-06-18T23:50:22.305053,A,240p,200,233.122,0.858,176.225,171.966,17.700,1,0,0.000,2
21,2026-06-18T23:50:23.283555,A,240p,200,244.397,0.818,139.941,168.763,18.800,1,0,0.000,2
22,2026-06-18T23:50:24.663700,B,240p,200,202.513,0.988,203.069,172.194,19.250,1,0,0.000,3
23,2026-06-18T23:50:25.778374,B,240p,200,183.108,1.092,303.280,185.303,20.050,1,0,0.000,3
24,2026-06-18T23:50:26.985312,B,240p,200,193.504,1.034,290.265,195.799,20.850,1,0,0.000,3
25,2026-06-18T23:50:28.167491,B,240p,200,319.448,0.626,158.291,192.048,22.100,1,0,0.000,3
26,2026-06-18T23:50:28.915225,B,240p,200,237.569,0.842,230.974,195.941,23.150,1,0,0.000,3
27,2026-06-18T23:50:30.294614,A,240p,200,214.349,0.933,135.319,189.878,23.700,1,0,0.000,4
28,2026-06-18T23:50:31.363983,A,240p,200,318.538,0.628,129.107,183.801,24.900,1,0,0.000,4
29,2026-06-18T23:50:32.123515,A,240p,200,203.034,0.985,193.472,184.768,25.800,1,0,0.000,4
30,2026-06-18T23:50:33.222792,A,240p,200,337.130,0.593,123.744,178.666,27.100,1,0,0.000,4
